Subsystem,Component,Sub-Component,Potential Failure Mode,Potential Effect(s) of Failure,Severity,Potential Cause(s) of Failure,Occurrence,Current Controls,Detection,RPN,Recommended Action
Power Unit,Fuel System,Fuel Tank,Cracked or leaking,"Fuel loss, fire",4,General wear and tear,1,Daily visual inspection,2,8,Drain and flush fuel tank during 1000 hour service. 
,,,,,4,Physical impact to tank,1,Daily visual inspection,2,8,
,,Fuel Cooler,Leaking,"Loss of power, engine overheating",4,"Damaged fan parts, blocked fins",2,No current controls,2,16,Inspect cooler and clean fins on 500 hour service
,,,Dirt build-up,Loss of power,3,"Contaminated fuel, extended period of operation without cleaning",2,No current controls,3,18,Inspect cooler and clean fins on 500 hour service
,,,Wearing,"Loss of power, engine overheating",3,Fins may crack or break off,2,No current controls,2,12,Inspect cooler and clean fins on 500 hour service
,,,Mechanical  failure,Fuel overheating,3,Fuel cooler thermostat worn out,2,No current controls,3,18,Inspect cooler and clean fins on 500 hour service Check thermostat function at 1000 hour service. 
,,Fuel Filter,Leaking,"Loss of power, fire",4,Damage to filter/filter head,1,Daily visual inspection. Scheduled change out on 250 hour service,2,8,"Perform operational test every 250 hour service - stall speed, high and low idle tests"
,,,Physical damage,"Fuel leak, fire",4,Physical impact,1,Daily visual inspection. Scheduled change out on 250 hour service,2,8,"Perform operational test every 250 hour service - stall speed, high and low idle tests"
,,,Blocked,"Loss of power, engine wont start",4,"Contaminated fuel, incorrect installation ",2,Daily visual inspection. Scheduled change out on 250 hour service,2,16,"Perform operational test every 250 hour service - stall speed, high and low idle tests"
,, Fuel Lines/Rail,Leaking,"Loss of power, fire",4,"Broken seal, or seal vibrated loose",1,Daily visual inspection. Scheduled inspection on 500 hour service,2,8,
,,,Physical damage,"Loss of power, fire",3,Physical impact,1,Daily visual inspection. Scheduled inspection on 500 hour service,2,6,
,,Injectors,Mechanical  failure,"Loss of power, misfiring",3,General wear and tear,2,Changed out with schedule engine replacement,3,18,"Perform operational test every 250 hour service - stall speed, high and low idle tests. Inspect for optimal replacement interval. Check function at 1000 hour service. "
,,,Corrosion,"Loss of power, misfiring",3,Exposure of terminals to contaminating elements,2,No current controls,3,18,Check function during 500 hour service
,,Fuel Pump,Mechanical  failure,"Engine wont start, loss of power",4,"General wear and tear, or damage due to Physical impact",2,Changed with scheduled engine replacement,3,24,Check function of pump during 500 service
,,,Leaking,Loss of power,4,"General wear and tear, loose fittings",2,Visual inspection on scheduled services,3,24,Check function of pump during 500 service
,,,Corrosion,Loss of power,3,Exposure of parts to contaminating elements,2,Investigated upon component failure,3,18,Check function of pump during 500 service
,Engine,Block,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure or physical failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
